구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0095,16,P4RN-CHWS-7311043-53,2,42,1669,,,"{""ident"": {""jhc"": ""P4RN-CHWS-7311043-53"", ""status"": ""P5RN-HPWR-7161050-01""}, ""joint"": {""jhc"": ""2"", ""status"": ""8""}, ""size"": {""jhc"": ""2.5"", ""status"": ""3""}, ""thk"": {""jhc"": ""5.16"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,17,P4RN-CHWS-7311043-52,,43,1670,,,"{""ident"": {""jhc"": ""P4RN-CHWS-7311043-52"", ""status"": ""P5RN-HWR-7611052-01""}, ""size"": {""jhc"": ""2.5"", ""status"": ""3""}, ""thk"": {""jhc"": ""5.16"", ""status"": ""5.49""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,2,P4RN-MPS-7421410-51,2,28,1655,,,"{""ident"": {""jhc"": ""P4RN-MPS-7421410-51"", ""status"": ""P4AN-CHWS-7311041-01""}, ""joint"": {""jhc"": ""2"", ""status"": ""7""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""5.49""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4101"", ""status"": ""4060""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,3,P4AN-WTR-2045002-01,3,29,1656,,,"{""ident"": {""jhc"": ""P4AN-WTR-2045002-01"", ""status"": ""P4AN-CHWS-7311414-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""6""}, ""size"": {""jhc"": ""2.5"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,4,P4RN-HPW-7161048-01,11,30,1657,,,"{""ident"": {""jhc"": ""P4RN-HPW-7161048-01"", ""status"": ""P4AN-WTR-2036001-02""}, ""joint"": {""jhc"": ""11"", ""status"": ""5""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4010""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,5,P4AN-CHWR-2072401-02,,31,1658,,,"{""ident"": {""jhc"": ""P4AN-CHWR-2072401-02"", ""status"": ""P4AN-WTR-2045002-01""}, ""size"": {""jhc"": ""4"", ""status"": ""2.5""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4009"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,6,P5RN-HPWR-7161050-01,8,32,1659,,,"{""ident"": {""jhc"": ""P5RN-HPWR-7161050-01"", ""status"": ""P4AN-WTR-3012002-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,7,P4AN-CHWS-7311414-01,,33,1660,,,"{""ident"": {""jhc"": ""P4AN-CHWS-7311414-01"", ""status"": ""P4RN-CHWS-7311043-52""}, ""size"": {""jhc"": ""4"", ""status"": ""2.5""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""5.16""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,8,P5AN-CHWS-7311401-01,6,34,1661,,,"{""ident"": {""jhc"": ""P5AN-CHWS-7311401-01"", ""status"": ""P4RN-CHWS-7311043-53""}, ""joint"": {""jhc"": ""6"", ""status"": ""2""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4091"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,9,,,35,1662,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,1,P3AN-PW-2041308-01,5,44,1671,,,"{""ident"": {""jhc"": ""P3AN-PW-2041308-01"", ""status"": ""P2RN-MPS-7421021-03""}, ""joint"": {""jhc"": ""5"", ""status"": ""3""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""5.49""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4047""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,10,P3AN-MPS-7421310-01,,53,1680,,,"{""ident"": {""jhc"": ""P3AN-MPS-7421310-01"", ""status"": ""P3AN-PW-2045306-01""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4101"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,11,P3AN-PW-2045305-01,5,54,1681,,,"{""ident"": {""jhc"": ""P3AN-PW-2045305-01"", ""status"": ""P3AN-PW-2045307-01""}, ""joint"": {""jhc"": ""5"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4002"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,12,P3AN-PW-2045303-01,8,55,1682,,,"{""ident"": {""jhc"": ""P3AN-PW-2045303-01"", ""status"": ""P3AN-PW-2045308-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,13,P3RN-IA-7711001-03,3,56,1683,,,"{""ident"": {""jhc"": ""P3RN-IA-7711001-03"", ""status"": ""P3RN-CHWS-7311032-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""2""}, ""size"": {""jhc"": ""3"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4068"", ""status"": ""4082""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,14,P3AN-PW-2045306-01,6,57,1684,,,"{""ident"": {""jhc"": ""P3AN-PW-2045306-01"", ""status"": ""P3RN-CHWS-7311032-02""}, ""joint"": {""jhc"": ""6"", ""status"": ""8""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,15,P3RN-CHWS-7311032-02,8,58,1685,,,"{""ident"": {""jhc"": ""P3RN-CHWS-7311032-02"", ""status"": ""P3RN-IA-7711001-02""}, ""joint"": {""jhc"": ""8"", ""status"": ""4""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,16,P2RN-MPS-7421021-03,,59,1686,,,"{""ident"": {""jhc"": ""P2RN-MPS-7421021-03"", ""status"": ""P3RN-IA-7711001-03""}, ""thk"": {""jhc"": ""5.49"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4047"", ""status"": ""4068""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,17,P5RN-VT-9701040-51,13,60,1687,,,"{""ident"": {""jhc"": ""P5RN-VT-9701040-51"", ""status"": ""P3RN-IA-7711030-01""}, ""joint"": {""jhc"": ""13"", ""status"": ""7""}, ""size"": {""jhc"": ""6"", ""status"": ""3""}, ""thk"": {""jhc"": ""3.4"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,18,P3AN-PW-2045308-01,6,61,1688,,,"{""ident"": {""jhc"": ""P3AN-PW-2045308-01"", ""status"": ""P5RN-VT-9701040-51""}, ""joint"": {""jhc"": ""6"", ""status"": ""13""}, ""size"": {""jhc"": ""2"", ""status"": ""6""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,19,P3RN-IA-7711001-02,4,62,1689,,,"{""ident"": {""jhc"": ""P3RN-IA-7711001-02"", ""status"": ""PSWN-CHWS-7361033-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""1""}, ""size"": {""jhc"": ""3"", ""status"": ""6""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""7.11""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}}"
