FILE: Material_Inventory.xlsx | SHEET: Transactions | COL: Date | RANGE: 2026-04-14 17:16:26.153000 TO 2026-04-14 17:16:26.153000
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_003 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_003 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_004 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_004 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_005 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_005 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_006 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_006 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_007 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_007 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_008 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_008 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_009 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_009 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_010 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_010 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_011 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_011 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_012 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_012 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_013 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_013 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_014 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_014 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_015 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_015 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_016 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_016 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_017 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_017 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143433.xlsx | SHEET: Sheet1_018 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
