,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
111,,"2""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,272,,,,,,272,3,3,관리소,A/2,816,,816,816,A/2,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
112,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
113,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
114,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
115,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
116,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
117,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
118,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
119,,"1½""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,20,,,,,,20,3,3,관리소,A/2,60,,60,60,A/2,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
120,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
121,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
122,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
123,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
124,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
125,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
126,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
127,,"1""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,3,,,,,,3,3,3,관리소,A/2,9,,9,9,A/2,투과두께 : 5.5mm이하(XS) × 2(이중벽) = 11.0mm이하
128,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
