0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
산 출 명 세 서,,,,,,,,,,,,,,,,,,,
가산~가평 천연가스 공급시설 건설공사 비파괴검사 기술용역,,,,,,,,,,,,,,,,,,,
구      분,,품    목,규      격,단위 ,산출,,,비  고,,구      분,,품    목,규      격,단위 ,산출,,,비  고,
번호,비목,,,,수   량,단  가,금     액,,,번호,비목,,,,수   량,단  가,금     액,,
,,,,,,,,,,,,,,,,,,,
Ⅰ. 재료비,,,,,,,,,,,,,,,,,,,
     1. 방사선 투과검사 (RT),,,,,,,,,,,,,,,,,,,
     2. 방사선투과검사 안전보건관리비,,,,,,,,,,,,,,,,,,,
,"""건설업 산업안전보건관리비 계상 및 사용기준"" [별표1] '특수 및 기타 건설공사' 요율 적용",,,,,,,,,,,,,,,,,,
,[RT재료비 + RT직접인건비] x 안전관리비율,,,,,,,,,,,,,,,,,,
,212229000,+,1191890000,x,0.0159,,22325492.1,계약시 금액조정 없음,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,적     용,,,,,22325000,실적정산,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
    3. 가설사무실(공사비단가*사용면적*손율),,,,,,,6183014,,,,,,,,,,,,
,,적   용,,,,,6183000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
    4. 주재비 및 국내 출장여비,,,,,,,2226096,,,,,,,,,,,,
,,적   용,,,,,2226000,"준공시 확정분 지급
(필요시)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
    5. 도서인쇄비,,,,,,,481599.99999999994,,,,,,,,,,,,
,,적   용,,,,,481000,"준공시 확정분 지급
(필요시)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,경비 합계 (1 + 2  + 3 + 4 + 5),,,,,,72215000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ⅳ. 제경비,,,,,,,,,,,,,,,,,,,
,[직접인건비] x 110 %,,,,,,,,,,,,,,,,,,
,,,1221644000,ⅹ,0.8,=,977315200,,,,,,,,,,,,
,,적     용,,,,,977315200,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ⅴ. 기술료 ,,,,,,,,,,,,,,,,,,,
,[직접인건비 + 제경비] x 20%,,,,,,,,,,,,,,,,,,
